0  1  2
0  2  3
0  3  4
0  4  5
0  5  1
1  6  7
3  8  9
6  1  10
8  3  11
12  5  13
8  11  14
15  9  16
12  13  17
18  7  19
6  10  20
21  16  22
23  17  24
19  25  26
27  20  28
29  14  30
31  24  32
26  33  34
28  35  36
37  30  38
39  22  40
36  41  42
43  38  44
45  40  46
47  32  48
34  49  50
51  46  52
53  48  54
50  55  56
42  57  58
59  44  60
54  61  62
56  63  64
58  65  66
67  60  68
69  52  70
64  71  72
73  66  74
75  68  76
77  70  78
62  79  80
41  47  57
35  31  41
57  53  65
65  54  66
66  62  80
20  23  31
17  21  39
24  39  45
79  77  81
48  51  61
32  45  51
61  69  79
16  29  37
52  67  70
70  75  78
46  59  67
40  43  59
22  37  43
68  64  82
14  19  26
38  34  50
30  26  38
44  50  56
60  56  64
55  42  63
49  36  55
63  58  71
71  73  83
25  27  33
33  28  49
7  6  25
10  12  23
13  15  21
9  8  16
11  18  14
2  1  7
18  2  7
4  3  9
15  4  9
1  5  10
5  12  10
3  2  11
2  18  11
5  4  13
4  15  13
29  8  14
21  15  16
23  12  17
7  25  19
27  6  20
39  21  22
31  23  24
25  33  26
20  35  28
37  29  30
47  31  32
33  49  34
35  41  36
43  37  38
45  39  40
41  57  42
59  43  44
51  45  46
53  47  48
49  55  50
69  51  52
48  61  54
55  63  56
57  65  58
67  59  60
61  79  62
63  71  64
73  58  66
75  67  68
77  69  70
71  83  72
84  73  74
68  82  76
81  77  78
79  85  80
47  53  57
31  47  41
53  54  65
54  62  66
74  66  80
35  20  31
24  17  39
32  24  45
85  79  81
51  69  61
48  32  51
69  77  79
22  16  37
67  75  70
75  76  78
52  46  67
46  40  59
40  22  43
64  72  82
30  14  26
44  38  50
26  34  38
60  44  56
68  60  64
42  58  63
36  42  55
58  73  71
73  84  83
27  28  33
28  36  49
6  27  25
20  10  23
17  13  21
8  29  16
18  19  14
